worker	iteration	scenario_id	latency_ns
0-0	0	abac-001	1093411
0-0	1	abac-002	160670
0-0	2	abac-003	145122
0-0	3	abac-004	158832
0-0	4	abac-005	137950
0-0	5	abac-006	135501
0-0	6	abac-007	135221
0-0	7	abac-008	168012
0-0	8	abac-009	137062
0-0	9	abac-010	141001
0-0	10	abac-001	148442
0-0	11	abac-002	137521
0-0	12	abac-003	136631
0-0	13	abac-004	134932
0-0	14	abac-005	140421
0-0	15	abac-006	134911
0-0	16	abac-007	134781
0-0	17	abac-008	147383
0-0	18	abac-009	134751
0-0	19	abac-010	139751
0-1	0	abac-001	1017320
0-1	1	abac-002	160681
0-1	2	abac-003	141732
0-1	3	abac-004	138812
0-1	4	abac-005	136702
0-1	5	abac-006	155242
0-1	6	abac-007	135262
0-1	7	abac-008	136041
0-1	8	abac-009	135512
0-1	9	abac-010	179051
0-1	10	abac-001	138472
0-1	11	abac-002	149111
0-1	12	abac-003	135911
0-1	13	abac-004	134222
0-1	14	abac-005	140121
0-1	15	abac-006	134491
0-1	16	abac-007	134621
0-1	17	abac-008	133652
0-1	18	abac-009	133781
0-1	19	abac-010	147281
0-2	0	abac-001	1007511
0-2	1	abac-002	164141
0-2	2	abac-003	146252
0-2	3	abac-004	175152
0-2	4	abac-005	140141
0-2	5	abac-006	137291
0-2	6	abac-007	150292
0-2	7	abac-008	138581
0-2	8	abac-009	137941
0-2	9	abac-010	141852
0-2	10	abac-001	138901
0-2	11	abac-002	137471
0-2	12	abac-003	137842
0-2	13	abac-004	151211
0-2	14	abac-005	141521
0-2	15	abac-006	136882
0-2	16	abac-007	136891
0-2	17	abac-008	136011
0-2	18	abac-009	136233
0-2	19	abac-010	177841
0-3	0	abac-001	1038031
0-3	1	abac-002	159912
0-3	2	abac-003	144261
0-3	3	abac-004	139081
0-3	4	abac-005	136712
0-3	5	abac-006	134191
0-3	6	abac-007	148230
0-3	7	abac-008	135903
0-3	8	abac-009	135431
0-3	9	abac-010	139932
0-3	10	abac-001	135541
0-3	11	abac-002	134441
0-3	12	abac-003	134651
0-3	13	abac-004	189552
0-3	14	abac-005	467014
0-3	15	abac-006	531685
0-3	16	abac-007	151212
0-3	17	abac-008	138151
0-3	18	abac-009	135221
0-3	19	abac-010	166802
0-4	0	abac-001	982369
0-4	1	abac-002	159130
0-4	2	abac-003	141702
0-4	3	abac-004	137501
0-4	4	abac-005	135271
0-4	5	abac-006	133042
0-4	6	abac-007	133931
0-4	7	abac-008	149011
0-4	8	abac-009	134231
0-4	9	abac-010	139802
0-4	10	abac-001	134701
0-4	11	abac-002	133691
0-4	12	abac-003	134072
0-4	13	abac-004	132551
0-4	14	abac-005	151401
0-4	15	abac-006	133092
0-4	16	abac-007	540476
0-4	17	abac-008	152621
0-4	18	abac-009	155842
0-4	19	abac-010	140750
0-5	0	abac-001	1030749
0-5	1	abac-002	158022
0-5	2	abac-003	143391
0-5	3	abac-004	243253
0-5	4	abac-005	183831
0-5	5	abac-006	135192
0-5	6	abac-007	218712
0-5	7	abac-008	138910
0-5	8	abac-009	134632
0-5	9	abac-010	158802
0-5	10	abac-001	135492
0-5	11	abac-002	133710
0-5	12	abac-003	134812
0-5	13	abac-004	226313
0-5	14	abac-005	143321
0-5	15	abac-006	204352
0-5	16	abac-007	137112
0-5	17	abac-008	133471
0-5	18	abac-009	137751
0-5	19	abac-010	160582
0-6	0	abac-001	1012709
0-6	1	abac-002	177312
0-6	2	abac-003	146431
0-6	3	abac-004	140552
0-6	4	abac-005	137321
0-6	5	abac-006	170182
0-6	6	abac-007	137140
0-6	7	abac-008	136741
0-6	8	abac-009	152092
0-6	9	abac-010	141971
0-6	10	abac-001	137111
0-6	11	abac-002	135711
0-6	12	abac-003	587486
0-6	13	abac-004	155612
0-6	14	abac-005	149041
0-6	15	abac-006	149432
0-6	16	abac-007	156011
0-6	17	abac-008	133451
0-6	18	abac-009	149672
0-6	19	abac-010	438795
0-7	0	abac-001	1033180
0-7	1	abac-002	181321
0-7	2	abac-003	146582
0-7	3	abac-004	140992
0-7	4	abac-005	138212
0-7	5	abac-006	136780
0-7	6	abac-007	136641
0-7	7	abac-008	137552
0-7	8	abac-009	148423
0-7	9	abac-010	142291
0-7	10	abac-001	138983
0-7	11	abac-002	136841
0-7	12	abac-003	168733
0-7	13	abac-004	137812
0-7	14	abac-005	143311
0-7	15	abac-006	152792
0-7	16	abac-007	137391
0-7	17	abac-008	135811
0-7	18	abac-009	135461
0-7	19	abac-010	139332
1-0	0	abac-001	1004439
1-0	1	abac-002	157182
1-0	2	abac-003	142441
1-0	3	abac-004	138311
1-0	4	abac-005	134632
1-0	5	abac-006	133142
1-0	6	abac-007	148061
1-0	7	abac-008	135121
1-0	8	abac-009	133581
1-0	9	abac-010	138381
1-0	10	abac-001	134962
1-0	11	abac-002	163991
1-0	12	abac-003	134342
1-0	13	abac-004	144711
1-0	14	abac-005	138761
1-0	15	abac-006	132701
1-0	16	abac-007	132862
1-0	17	abac-008	131721
1-0	18	abac-009	132161
1-0	19	abac-010	134812
1-1	0	abac-001	999771
1-1	1	abac-002	165961
1-1	2	abac-003	143982
1-1	3	abac-004	138890
1-1	4	abac-005	171252
1-1	5	abac-006	136531
1-1	6	abac-007	147271
1-1	7	abac-008	136592
1-1	8	abac-009	135171
1-1	9	abac-010	139801
1-1	10	abac-001	136002
1-1	11	abac-002	134731
1-1	12	abac-003	135311
1-1	13	abac-004	133830
1-1	14	abac-005	152692
1-1	15	abac-006	134481
1-1	16	abac-007	134422
1-1	17	abac-008	133341
1-1	18	abac-009	134422
1-1	19	abac-010	136702
1-2	0	abac-001	1029330
1-2	1	abac-002	160731
1-2	2	abac-003	161742
1-2	3	abac-004	140451
1-2	4	abac-005	136621
1-2	5	abac-006	134902
1-2	6	abac-007	134991
1-2	7	abac-008	136421
1-2	8	abac-009	135900
1-2	9	abac-010	152292
1-2	10	abac-001	136992
1-2	11	abac-002	134912
1-2	12	abac-003	135611
1-2	13	abac-004	134420
1-2	14	abac-005	138902
1-2	15	abac-006	134871
1-2	16	abac-007	147250
1-2	17	abac-008	134450
1-2	18	abac-009	134052
1-2	19	abac-010	507574
1-3	0	abac-001	993720
1-3	1	abac-002	158961
1-3	2	abac-003	160942
1-3	3	abac-004	138541
1-3	4	abac-005	135340
1-3	5	abac-006	490925
1-3	6	abac-007	168372
1-3	7	abac-008	140780
1-3	8	abac-009	136031
1-3	9	abac-010	142251
1-3	10	abac-001	136052
1-3	11	abac-002	134041
1-3	12	abac-003	134891
1-3	13	abac-004	147552
1-3	14	abac-005	140271
1-3	15	abac-006	135411
1-3	16	abac-007	134712
1-3	17	abac-008	133001
1-3	18	abac-009	161431
1-3	19	abac-010	137393
1-4	0	abac-001	988109
1-4	1	abac-002	157002
1-4	2	abac-003	181111
1-4	3	abac-004	139571
1-4	4	abac-005	151371
1-4	5	abac-006	134173
1-4	6	abac-007	133182
1-4	7	abac-008	519205
1-4	8	abac-009	152711
1-4	9	abac-010	162412
1-4	10	abac-001	136701
1-4	11	abac-002	133351
1-4	12	abac-003	133532
1-4	13	abac-004	133021
1-4	14	abac-005	465555
1-4	15	abac-006	143992
1-4	16	abac-007	135052
1-4	17	abac-008	132342
1-4	18	abac-009	131901
1-4	19	abac-010	135020
1-5	0	abac-001	982459
1-5	1	abac-002	161872
1-5	2	abac-003	144961
1-5	3	abac-004	140272
1-5	4	abac-005	153741
1-5	5	abac-006	136621
1-5	6	abac-007	135761
1-5	7	abac-008	137432
1-5	8	abac-009	146811
1-5	9	abac-010	141871
1-5	10	abac-001	139372
1-5	11	abac-002	152351
1-5	12	abac-003	137822
1-5	13	abac-004	135321
1-5	14	abac-005	574766
1-5	15	abac-006	171002
1-5	16	abac-007	139481
1-5	17	abac-008	134762
1-5	18	abac-009	133750
1-5	19	abac-010	138841
1-6	0	abac-001	1082631
1-6	1	abac-002	161543
1-6	2	abac-003	145041
1-6	3	abac-004	138382
1-6	4	abac-005	202171
1-6	5	abac-006	155772
1-6	6	abac-007	157091
1-6	7	abac-008	137322
1-6	8	abac-009	134802
1-6	9	abac-010	139981
1-6	10	abac-001	180373
1-6	11	abac-002	197193
1-6	12	abac-003	156852
1-6	13	abac-004	133732
1-6	14	abac-005	141681
1-6	15	abac-006	134122
1-6	16	abac-007	133773
1-6	17	abac-008	180740
1-6	18	abac-009	151492
1-6	19	abac-010	138731
1-7	0	abac-001	1049720
1-7	1	abac-002	159283
1-7	2	abac-003	143472
1-7	3	abac-004	179901
1-7	4	abac-005	136081
1-7	5	abac-006	151802
1-7	6	abac-007	134211
1-7	7	abac-008	134462
1-7	8	abac-009	133372
1-7	9	abac-010	137561
1-7	10	abac-001	134952
1-7	11	abac-002	133602
1-7	12	abac-003	148612
1-7	13	abac-004	484975
1-7	14	abac-005	157941
1-7	15	abac-006	137731
1-7	16	abac-007	134472
1-7	17	abac-008	157031
1-7	18	abac-009	134232
1-7	19	abac-010	136830
2-0	0	abac-001	1003071
2-0	1	abac-002	161281
2-0	2	abac-003	147122
2-0	3	abac-004	141371
2-0	4	abac-005	138342
2-0	5	abac-006	136913
2-0	6	abac-007	137070
2-0	7	abac-008	153752
2-0	8	abac-009	138661
2-0	9	abac-010	142102
2-0	10	abac-001	138913
2-0	11	abac-002	169152
2-0	12	abac-003	139321
2-0	13	abac-004	136922
2-0	14	abac-005	155081
2-0	15	abac-006	137372
2-0	16	abac-007	137161
2-0	17	abac-008	136111
2-0	18	abac-009	136101
2-0	19	abac-010	139453
2-1	0	abac-001	994079
2-1	1	abac-002	182362
2-1	2	abac-003	143491
2-1	3	abac-004	138432
2-1	4	abac-005	135581
2-1	5	abac-006	133901
2-1	6	abac-007	134352
2-1	7	abac-008	146301
2-1	8	abac-009	135211
2-1	9	abac-010	138522
2-1	10	abac-001	135911
2-1	11	abac-002	134491
2-1	12	abac-003	134953
2-1	13	abac-004	133902
2-1	14	abac-005	138081
2-1	15	abac-006	146431
2-1	16	abac-007	134311
2-1	17	abac-008	133021
2-1	18	abac-009	133340
2-1	19	abac-010	175192
2-2	0	abac-001	987930
2-2	1	abac-002	157512
2-2	2	abac-003	142791
2-2	3	abac-004	137011
2-2	4	abac-005	134881
2-2	5	abac-006	204941
2-2	6	abac-007	152090
2-2	7	abac-008	135781
2-2	8	abac-009	133831
2-2	9	abac-010	138731
2-2	10	abac-001	135782
2-2	11	abac-002	134031
2-2	12	abac-003	134161
2-2	13	abac-004	146552
2-2	14	abac-005	138531
2-2	15	abac-006	132881
2-2	16	abac-007	132701
2-2	17	abac-008	131852
2-2	18	abac-009	178921
2-2	19	abac-010	139682
2-3	0	abac-001	991910
2-3	1	abac-002	159061
2-3	2	abac-003	144572
2-3	3	abac-004	138251
2-3	4	abac-005	136171
2-3	5	abac-006	133822
2-3	6	abac-007	135351
2-3	7	abac-008	148931
2-3	8	abac-009	135301
2-3	9	abac-010	139502
2-3	10	abac-001	135851
2-3	11	abac-002	164402
2-3	12	abac-003	662326
2-3	13	abac-004	156882
2-3	14	abac-005	147501
2-3	15	abac-006	135231
2-3	16	abac-007	134282
2-3	17	abac-008	153131
2-3	18	abac-009	134181
2-3	19	abac-010	136722
2-4	0	abac-001	1039921
2-4	1	abac-002	160212
2-4	2	abac-003	143561
2-4	3	abac-004	138062
2-4	4	abac-005	135361
2-4	5	abac-006	132951
2-4	6	abac-007	149061
2-4	7	abac-008	135481
2-4	8	abac-009	133712
2-4	9	abac-010	138982
2-4	10	abac-001	512046
2-4	11	abac-002	165442
2-4	12	abac-003	138232
2-4	13	abac-004	134001
2-4	14	abac-005	144332
2-4	15	abac-006	133871
2-4	16	abac-007	133901
2-4	17	abac-008	132722
2-4	18	abac-009	146461
2-4	19	abac-010	136851
2-5	0	abac-001	1016769
2-5	1	abac-002	159352
2-5	2	abac-003	143571
2-5	3	abac-004	138471
2-5	4	abac-005	135742
2-5	5	abac-006	134330
2-5	6	abac-007	149222
2-5	7	abac-008	136503
2-5	8	abac-009	135192
2-5	9	abac-010	140392
2-5	10	abac-001	135933
2-5	11	abac-002	134411
2-5	12	abac-003	135142
2-5	13	abac-004	147690
2-5	14	abac-005	139751
2-5	15	abac-006	134372
2-5	16	abac-007	134321
2-5	17	abac-008	133562
2-5	18	abac-009	134001
2-5	19	abac-010	136481
2-6	0	abac-001	1392023
2-6	1	abac-002	187242
2-6	2	abac-003	144902
2-6	3	abac-004	137812
2-6	4	abac-005	134112
2-6	5	abac-006	132553
2-6	6	abac-007	132860
2-6	7	abac-008	133660
2-6	8	abac-009	144762
2-6	9	abac-010	138411
2-6	10	abac-001	134661
2-6	11	abac-002	133161
2-6	12	abac-003	133292
2-6	13	abac-004	132001
2-6	14	abac-005	136401
2-6	15	abac-006	145692
2-6	16	abac-007	132801
2-6	17	abac-008	131691
2-6	18	abac-009	131681
2-6	19	abac-010	135063
2-7	0	abac-001	1008110
2-7	1	abac-002	159062
2-7	2	abac-003	142261
2-7	3	abac-004	137522
2-7	4	abac-005	135131
2-7	5	abac-006	147741
2-7	6	abac-007	133832
2-7	7	abac-008	134731
2-7	8	abac-009	648606
2-7	9	abac-010	285923
2-7	10	abac-001	474554
2-7	11	abac-002	146172
2-7	12	abac-003	155861
2-7	13	abac-004	134211
2-7	14	abac-005	143472
2-7	15	abac-006	133161
2-7	16	abac-007	133011
2-7	17	abac-008	132882
2-7	18	abac-009	473654
2-7	19	abac-010	154562
