worker	iteration	scenario_id	latency_ns
0-0	0	abac-001	1120231
0-0	1	abac-002	162021
0-0	2	abac-003	165412
0-0	3	abac-004	163241
0-0	4	abac-005	142872
0-0	5	abac-006	135301
0-0	6	abac-007	134631
0-0	7	abac-008	136282
0-0	8	abac-009	145991
0-0	9	abac-010	140771
0-0	10	abac-001	136262
0-0	11	abac-002	135142
0-0	12	abac-003	135361
0-0	13	abac-004	134303
0-0	14	abac-005	139651
0-0	15	abac-006	134990
0-0	16	abac-007	146122
0-0	17	abac-008	134121
0-0	18	abac-009	133730
0-0	19	abac-010	136882
1-0	0	abac-001	1058370
1-0	1	abac-002	162922
1-0	2	abac-003	163121
1-0	3	abac-004	138862
1-0	4	abac-005	136321
1-0	5	abac-006	133901
1-0	6	abac-007	134132
1-0	7	abac-008	135021
1-0	8	abac-009	134481
1-0	9	abac-010	148382
1-0	10	abac-001	135611
1-0	11	abac-002	134371
1-0	12	abac-003	134531
1-0	13	abac-004	133462
1-0	14	abac-005	137911
1-0	15	abac-006	133902
1-0	16	abac-007	145533
1-0	17	abac-008	133251
1-0	18	abac-009	133081
1-0	19	abac-010	135282
2-0	0	abac-001	1000920
2-0	1	abac-002	210402
2-0	2	abac-003	145662
2-0	3	abac-004	155982
2-0	4	abac-005	138172
2-0	5	abac-006	136011
2-0	6	abac-007	136861
2-0	7	abac-008	137152
2-0	8	abac-009	136461
2-0	9	abac-010	141321
2-0	10	abac-001	151352
2-0	11	abac-002	136882
2-0	12	abac-003	136341
2-0	13	abac-004	135221
2-0	14	abac-005	140771
2-0	15	abac-006	135721
2-0	16	abac-007	135602
2-0	17	abac-008	147672
2-0	18	abac-009	136230
2-0	19	abac-010	138472
