worker	iteration	scenario_id	latency_ns
0-0	0	abac-001	1077261
0-0	1	abac-002	160322
0-0	2	abac-003	144451
0-0	3	abac-004	157422
0-0	4	abac-005	136901
0-0	5	abac-006	134381
0-0	6	abac-007	134582
0-0	7	abac-008	135401
0-0	8	abac-009	135152
0-0	9	abac-010	139681
0-0	10	abac-001	149343
0-0	11	abac-002	135281
0-0	12	abac-003	135121
0-0	13	abac-004	134013
0-0	14	abac-005	139232
0-0	15	abac-006	134632
0-0	16	abac-007	134402
0-0	17	abac-008	145722
0-0	18	abac-009	134151
0-0	19	abac-010	138312
0-1	0	abac-001	1036191
0-1	1	abac-002	174850
0-1	2	abac-003	144712
0-1	3	abac-004	138262
0-1	4	abac-005	136061
0-1	5	abac-006	133841
0-1	6	abac-007	133862
0-1	7	abac-008	134531
0-1	8	abac-009	134391
0-1	9	abac-010	151432
0-1	10	abac-001	135781
0-1	11	abac-002	133961
0-1	12	abac-003	134342
0-1	13	abac-004	133161
0-1	14	abac-005	137811
0-1	15	abac-006	133611
0-1	16	abac-007	145142
0-1	17	abac-008	133062
0-1	18	abac-009	132831
0-1	19	abac-010	135383
0-2	0	abac-001	1015680
0-2	1	abac-002	160733
0-2	2	abac-003	146382
0-2	3	abac-004	141052
0-2	4	abac-005	155762
0-2	5	abac-006	137851
0-2	6	abac-007	137173
0-2	7	abac-008	137862
0-2	8	abac-009	137312
0-2	9	abac-010	142651
0-2	10	abac-001	137931
0-2	11	abac-002	152071
0-2	12	abac-003	138232
0-2	13	abac-004	135871
0-2	14	abac-005	141231
0-2	15	abac-006	167242
0-2	16	abac-007	137691
0-2	17	abac-008	587486
0-2	18	abac-009	153140
0-2	19	abac-010	144912
0-3	0	abac-001	1004310
0-3	1	abac-002	159372
0-3	2	abac-003	143971
0-3	3	abac-004	155662
0-3	4	abac-005	136311
0-3	5	abac-006	133931
0-3	6	abac-007	134361
0-3	7	abac-008	134952
0-3	8	abac-009	167221
0-3	9	abac-010	140532
0-3	10	abac-001	152681
0-3	11	abac-002	136401
0-3	12	abac-003	135713
0-3	13	abac-004	133721
0-3	14	abac-005	138872
0-3	15	abac-006	134362
0-3	16	abac-007	134051
0-3	17	abac-008	133432
