worker	iteration	scenario_id	latency_ns
0	0	abac-001	5350002431
0	1	abac-002	4887443228
0	2	abac-003	5116318856
0	3	abac-004	4890965943
0	4	abac-005	4657667712
0	5	abac-006	5257446619
0	6	abac-007	4994047110
0	7	abac-008	5061303189
0	8	abac-009	4727386253
0	9	abac-010	5128755346
0	10	abac-001	4919858408
0	11	abac-002	5256445331
0	12	abac-003	5397743359
0	13	abac-004	5584189443
0	14	abac-005	5546962134
0	15	abac-006	4884492404
0	16	abac-007	4443796290
0	17	abac-008	5233598938
0	18	abac-009	5370872186
0	19	abac-010	3773049939
1	0	abac-001	4538283546
1	1	abac-002	5097149936
1	2	abac-003	5214686804
1	3	abac-004	4890348901
1	4	abac-005	4873029336
1	5	abac-006	5015221109
1	6	abac-007	4959197797
1	7	abac-008	4528171546
1	8	abac-009	5062410084
1	9	abac-010	4956927054
1	10	abac-001	4962375354
1	11	abac-002	5448667543
1	12	abac-003	5054154532
1	13	abac-004	5395548214
1	14	abac-005	5133250027
1	15	abac-006	4367588727
1	16	abac-007	5095109085
1	17	abac-008	4749952567
1	18	abac-009	4982671247
1	19	abac-010	4838848812
2	0	abac-001	5295488738
2	1	abac-002	4753296590
2	2	abac-003	4768028520
2	3	abac-004	5379162583
2	4	abac-005	5080966962
2	5	abac-006	5217463746
2	6	abac-007	4944357936
2	7	abac-008	5558390294
2	8	abac-009	4740257900
2	9	abac-010	4858421170
2	10	abac-001	5099085400
2	11	abac-002	4965773605
2	12	abac-003	4757920121
2	13	abac-004	4818239833
2	14	abac-005	5380500591
2	15	abac-006	4919349546
2	16	abac-007	4960310514
2	17	abac-008	4240944631
2	18	abac-009	4900810433
2	19	abac-010	5079603934
3	0	abac-001	5266377214
3	1	abac-002	4803776475
3	2	abac-003	4932661555
3	3	abac-004	5022451965
3	4	abac-005	5262692289
3	5	abac-006	4938986878
3	6	abac-007	4885433302
3	7	abac-008	5198563525
3	8	abac-009	4990291301
3	9	abac-010	4825800915
3	10	abac-001	4482227157
3	11	abac-002	5004032665
3	12	abac-003	4925839103
3	13	abac-004	5223210298
3	14	abac-005	5315052960
3	15	abac-006	5309653935
3	16	abac-007	5155914290
3	17	abac-008	5612431410
3	18	abac-009	4576684471
3	19	abac-010	4470548115
4	0	abac-001	5383717943
4	1	abac-002	4426038447
4	2	abac-003	4743197211
4	3	abac-004	5110968368
4	4	abac-005	5227944833
4	5	abac-006	5103237640
4	6	abac-007	5202735413
4	7	abac-008	4884996261
4	8	abac-009	4818968324
4	9	abac-010	4968780180
4	10	abac-001	4837481809
4	11	abac-002	4874246392
4	12	abac-003	5071387278
4	13	abac-004	5167993210
4	14	abac-005	4581651110
4	15	abac-006	4463664417
4	16	abac-007	4883646702
4	17	abac-008	5371189454
4	18	abac-009	4919293853
4	19	abac-010	4927928232
5	0	abac-001	4970287547
5	1	abac-002	5179958239
5	2	abac-003	4748654296
5	3	abac-004	4882705509
5	4	abac-005	5051734872
5	5	abac-006	4649631694
5	6	abac-007	4422755388
5	7	abac-008	4836059604
5	8	abac-009	5318232042
5	9	abac-010	5242223311
5	10	abac-001	4484268894
5	11	abac-002	5380363026
5	12	abac-003	5106412135
5	13	abac-004	5446319111
5	14	abac-005	5205829830
5	15	abac-006	4671781542
5	16	abac-007	4888957485
5	17	abac-008	4308573804
5	18	abac-009	5377117404
5	19	abac-010	4889700342
6	0	abac-001	5187373111
6	1	abac-002	4966805833
6	2	abac-003	4499875203
6	3	abac-004	4659399036
6	4	abac-005	5342830694
6	5	abac-006	4926754371
6	6	abac-007	4646267467
6	7	abac-008	5189938546
6	8	abac-009	5062042247
6	9	abac-010	5143321266
6	10	abac-001	4907996151
6	11	abac-002	5398205366
6	12	abac-003	5205237537
6	13	abac-004	5177920687
6	14	abac-005	4944926294
6	15	abac-006	5290061573
6	16	abac-007	5002123320
6	17	abac-008	4480454043
6	18	abac-009	5462819497
6	19	abac-010	4519562989
7	0	abac-001	5422760478
7	1	abac-002	5001891908
7	2	abac-003	5117785469
7	3	abac-004	4603969419
7	4	abac-005	5131678643
7	5	abac-006	4644801154
7	6	abac-007	4823443729
7	7	abac-008	5007217380
7	8	abac-009	5325250267
7	9	abac-010	5141242424
7	10	abac-001	4840210891
7	11	abac-002	5489098203
7	12	abac-003	5087945949
7	13	abac-004	4763217600
7	14	abac-005	4956499132
7	15	abac-006	5231348208
7	16	abac-007	5200048113
7	17	abac-008	5482787733
7	18	abac-009	4500359229
7	19	abac-010	4386491973
0	0	abac-001	5303086947
0	1	abac-002	5165616519
0	2	abac-003	4896337762
0	3	abac-004	5174751383
0	4	abac-005	5149305743
0	5	abac-006	4608149647
0	6	abac-007	5071162866
0	7	abac-008	4509130787
0	8	abac-009	5083994983
0	9	abac-010	4482111807
0	10	abac-001	4702208055
0	11	abac-002	5020087224
0	12	abac-003	5151658804
0	13	abac-004	5128424999
0	14	abac-005	4900356367
0	15	abac-006	4732383980
0	16	abac-007	5452725250
0	17	abac-008	5061747713
0	18	abac-009	5126043827
0	19	abac-010	4434081970
1	0	abac-001	4777400176
1	1	abac-002	4873394455
1	2	abac-003	4545838496
1	3	abac-004	4999080378
1	4	abac-005	5267701475
1	5	abac-006	4605987357
1	6	abac-007	5188430089
1	7	abac-008	4646570217
1	8	abac-009	4656810688
1	9	abac-010	4663783528
1	10	abac-001	4187785079
1	11	abac-002	4624705002
1	12	abac-003	5497317744
1	13	abac-004	5446149624
1	14	abac-005	5698636612
1	15	abac-006	5161176713
1	16	abac-007	4835673885
1	17	abac-008	4450310866
1	18	abac-009	4529389001
1	19	abac-010	4334682089
2	0	abac-001	5017422867
2	1	abac-002	4494461562
2	2	abac-003	4828536178
2	3	abac-004	5255783682
2	4	abac-005	5020206947
2	5	abac-006	4819331705
2	6	abac-007	4763513289
2	7	abac-008	5373425214
2	8	abac-009	4313548113
2	9	abac-010	4888728916
2	10	abac-001	4741865322
2	11	abac-002	4851864921
2	12	abac-003	5514401476
2	13	abac-004	5222258484
2	14	abac-005	5156079214
2	15	abac-006	5109344871
2	16	abac-007	4454646372
2	17	abac-008	5273788078
