worker	iteration	scenario_id	latency_ns
0	0	abac-001	1401319276
0	1	abac-002	1340986239
0	2	abac-003	1449695234
0	3	abac-004	1453532505
0	4	abac-005	1448800614
0	5	abac-006	1307311863
0	6	abac-007	1302518851
0	7	abac-008	1333687727
0	8	abac-009	1523605109
0	9	abac-010	1467203202
0	10	abac-001	1403022757
0	11	abac-002	1366923308
0	12	abac-003	1554434626
0	13	abac-004	1465711036
0	14	abac-005	1416955806
0	15	abac-006	1367081351
0	16	abac-007	1429417626
0	17	abac-008	1465135338
0	18	abac-009	1408883491
0	19	abac-010	1372928369
0	0	abac-001	1426820984
0	1	abac-002	1431975508
0	2	abac-003	1418257676
0	3	abac-004	1472485431
0	4	abac-005	1501494853
0	5	abac-006	1509059820
0	6	abac-007	1436846963
0	7	abac-008	1427449881
0	8	abac-009	1426796157
0	9	abac-010	1442567991
0	10	abac-001	1434206801
0	11	abac-002	1434035579
0	12	abac-003	1403674705
0	13	abac-004	1419055363
0	14	abac-005	1443329473
0	15	abac-006	1402774316
0	16	abac-007	1468427381
0	17	abac-008	1470901038
0	18	abac-009	1481216060
0	19	abac-010	1463771111
0	0	abac-001	1401787238
0	1	abac-002	1436665023
0	2	abac-003	1434241839
0	3	abac-004	1440467581
0	4	abac-005	1448214249
0	5	abac-006	1415373950
0	6	abac-007	1359145041
0	7	abac-008	1380142916
0	8	abac-009	1416484430
0	9	abac-010	1621915349
0	10	abac-001	1423611453
0	11	abac-002	1374000874
0	12	abac-003	1389897020
0	13	abac-004	1540056055
0	14	abac-005	1415915341
0	15	abac-006	1384537635
0	16	abac-007	1462623852
0	17	abac-008	1389786696
0	18	abac-009	1367034783
0	19	abac-010	1386786080
