worker	iteration	scenario_id	latency_ns
0	0	abac-001	8636025
0	1	abac-002	7021836
0	2	abac-003	8414441
0	3	abac-004	7893162
0	4	abac-005	6111991
0	5	abac-006	5045441
0	6	abac-007	4777906
0	7	abac-008	5536839
0	8	abac-009	5643132
0	9	abac-010	4429000
0	10	abac-001	4035602
0	11	abac-002	4973819
0	12	abac-003	4855948
0	13	abac-004	4464932
0	14	abac-005	5043390
0	15	abac-006	4822897
0	16	abac-007	4646414
0	17	abac-008	3992971
0	18	abac-009	4565631
0	19	abac-010	17841271
1	0	abac-001	14536831
1	1	abac-002	9710785
1	2	abac-003	7730299
1	3	abac-004	6730560
1	4	abac-005	5025670
1	5	abac-006	4424669
1	6	abac-007	5314896
1	7	abac-008	5587930
1	8	abac-009	4141084
1	9	abac-010	4202615
1	10	abac-001	5158333
1	11	abac-002	4830457
1	12	abac-003	4460690
1	13	abac-004	5089281
1	14	abac-005	4842887
1	15	abac-006	4494311
1	16	abac-007	4108913
1	17	abac-008	4411749
1	18	abac-009	19374057
1	19	abac-010	3520803
0	0	abac-001	3959910
0	1	abac-002	3237089
0	2	abac-003	3654296
0	3	abac-004	3888469
0	4	abac-005	4039474
0	5	abac-006	3346870
0	6	abac-007	2622607
0	7	abac-008	2676197
0	8	abac-009	2600157
0	9	abac-010	2637857
0	10	abac-001	2854851
0	11	abac-002	2391983
0	12	abac-003	2295542
0	13	abac-004	2157989
0	14	abac-005	2244520
0	15	abac-006	2210600
0	16	abac-007	2426724
0	17	abac-008	3318530
0	18	abac-009	3090156
0	19	abac-010	2838721
1	0	abac-001	4087983
1	1	abac-002	3324060
1	2	abac-003	3536284
1	3	abac-004	3745148
1	4	abac-005	3745259
1	5	abac-006	3913540
1	6	abac-007	2987184
1	7	abac-008	2781561
1	8	abac-009	3361661
1	9	abac-010	3112006
1	10	abac-001	2411063
1	11	abac-002	2378954
1	12	abac-003	2417323
1	13	abac-004	2269100
1	14	abac-005	2527666
1	15	abac-006	2631967
1	16	abac-007	3248618
1	17	abac-008	3089804
1	18	abac-009	2870922
1	19	abac-010	2221260
0	0	abac-001	3269289
0	1	abac-002	3236929
0	2	abac-003	3089126
0	3	abac-004	3183738
0	4	abac-005	2866842
0	5	abac-006	2178800
0	6	abac-007	2128289
0	7	abac-008	2345113
0	8	abac-009	2739699
0	9	abac-010	5364817
0	10	abac-001	3087275
0	11	abac-002	2354011
0	12	abac-003	2477174
0	13	abac-004	2255532
0	14	abac-005	2268730
0	15	abac-006	1973995
0	16	abac-007	2166780
0	17	abac-008	1969725
0	18	abac-009	1937224
0	19	abac-010	1903184
1	0	abac-001	3229818
1	1	abac-002	3232318
1	2	abac-003	3172586
1	3	abac-004	3101286
1	4	abac-005	2716609
1	5	abac-006	2173488
1	6	abac-007	2131277
1	7	abac-008	2487594
1	8	abac-009	2826790
1	9	abac-010	5334586
1	10	abac-001	3019085
1	11	abac-002	2466965
1	12	abac-003	2450164
1	13	abac-004	2326903
1	14	abac-005	2275630
1	15	abac-006	2129139
1	16	abac-007	2069837
1	17	abac-008	2050667
1	18	abac-009	2072667
1	19	abac-010	1961765
