worker	iteration	scenario_id	latency_ns
0	0	abac-001	59892748
0	1	abac-002	26512747
0	2	abac-003	20108152
0	3	abac-004	3934020
0	4	abac-005	3814880
0	5	abac-006	18725006
0	6	abac-007	11262552
0	7	abac-008	21756891
0	8	abac-009	16919434
0	9	abac-010	3787139
0	10	abac-001	2998805
0	11	abac-002	2749629
0	12	abac-003	2554126
0	13	abac-004	2572786
0	14	abac-005	3081096
0	15	abac-006	4007923
0	16	abac-007	2828381
0	17	abac-008	3056984
0	18	abac-009	2618977
0	19	abac-010	2323932
1	0	abac-001	24133924
1	1	abac-002	10702713
1	2	abac-003	10287265
1	3	abac-004	7919293
1	4	abac-005	32840311
1	5	abac-006	31536177
1	6	abac-007	36268892
1	7	abac-008	3255250
1	8	abac-009	3077855
1	9	abac-010	18155497
1	10	abac-001	6810792
1	11	abac-002	2746951
1	12	abac-003	2501485
1	13	abac-004	2755831
1	14	abac-005	14818667
1	15	abac-006	3375740
1	16	abac-007	4528771
1	17	abac-008	2570997
1	18	abac-009	2376943
1	19	abac-010	2491325
2	0	abac-001	28184806
2	1	abac-002	24647114
2	2	abac-003	23442322
2	3	abac-004	6060709
2	4	abac-005	14141846
2	5	abac-006	4195246
2	6	abac-007	4133874
2	7	abac-008	3780007
2	8	abac-009	20587291
2	9	abac-010	14260506
2	10	abac-001	5213194
2	11	abac-002	16636380
2	12	abac-003	15072781
2	13	abac-004	2711209
2	14	abac-005	15289455
2	15	abac-006	2274211
2	16	abac-007	3378901
2	17	abac-008	2236190
2	18	abac-009	2393093
2	19	abac-010	2484185
3	0	abac-001	16869153
3	1	abac-002	30853134
3	2	abac-003	14561812
3	3	abac-004	23112766
3	4	abac-005	29525321
3	5	abac-006	8662656
3	6	abac-007	7782400
3	7	abac-008	9716075
3	8	abac-009	9184976
3	9	abac-010	6332734
3	10	abac-001	3720907
3	11	abac-002	14313597
3	12	abac-003	3978242
3	13	abac-004	2989843
3	14	abac-005	4058873
3	15	abac-006	2926113
3	16	abac-007	3141817
3	17	abac-008	3367491
3	18	abac-009	4008543
3	19	abac-010	3725896
