worker	iteration	scenario_id	latency_ns
0	0	abac-001	19415215
0	1	abac-002	15566643
0	2	abac-003	14211446
0	3	abac-004	6732059
0	4	abac-005	6680757
0	5	abac-006	5364881
0	6	abac-007	5064827
0	7	abac-008	7213665
0	8	abac-009	4421138
0	9	abac-010	24549152
0	10	abac-001	3769290
0	11	abac-002	4678912
0	12	abac-003	6927451
0	13	abac-004	4280817
0	14	abac-005	5097967
0	15	abac-006	3529366
0	16	abac-007	5057157
0	17	abac-008	5000856
0	18	abac-009	3010909
0	19	abac-010	3451716
1	0	abac-001	15825358
1	1	abac-002	7368307
1	2	abac-003	8976608
1	3	abac-004	8013945
1	4	abac-005	7520059
1	5	abac-006	4317977
1	6	abac-007	5091596
1	7	abac-008	5634203
1	8	abac-009	4033603
1	9	abac-010	37467542
1	10	abac-001	3885201
1	11	abac-002	4374888
1	12	abac-003	7746981
1	13	abac-004	4737032
1	14	abac-005	5173558
1	15	abac-006	3963583
1	16	abac-007	5263500
1	17	abac-008	5377759
1	18	abac-009	3380495
1	19	abac-010	3267832
2	0	abac-001	23989946
2	1	abac-002	11182597
2	2	abac-003	8755695
2	3	abac-004	6598517
2	4	abac-005	6737929
2	5	abac-006	4334457
2	6	abac-007	5331470
2	7	abac-008	5848096
2	8	abac-009	5772526
2	9	abac-010	36150774
2	10	abac-001	3636418
2	11	abac-002	4594481
2	12	abac-003	6876401
2	13	abac-004	4218606
2	14	abac-005	5018526
2	15	abac-006	3338593
2	16	abac-007	4999616
2	17	abac-008	5457731
2	18	abac-009	3386623
2	19	abac-010	3843111
3	0	abac-001	19733329
3	1	abac-002	15320750
3	2	abac-003	15081189
3	3	abac-004	6224883
3	4	abac-005	6979612
3	5	abac-006	5315530
3	6	abac-007	8002365
3	7	abac-008	5280449
3	8	abac-009	4007752
3	9	abac-010	23166193
3	10	abac-001	3503486
3	11	abac-002	4614691
3	12	abac-003	7216415
3	13	abac-004	4590590
3	14	abac-005	5149877
3	15	abac-006	3786469
3	16	abac-007	5093727
3	17	abac-008	4786153
3	18	abac-009	3146062
3	19	abac-010	2758676
0	0	abac-001	3302194
0	1	abac-002	3945871
0	2	abac-003	5236488
0	3	abac-004	3872000
0	4	abac-005	4108233
0	5	abac-006	2779246
0	6	abac-007	4186956
0	7	abac-008	3606678
0	8	abac-009	3048319
0	9	abac-010	2484882
0	10	abac-001	2241689
0	11	abac-002	2990989
0	12	abac-003	4805713
0	13	abac-004	3474695
0	14	abac-005	4257646
0	15	abac-006	2753817
0	16	abac-007	3443765
0	17	abac-008	3443285
0	18	abac-009	2711585
0	19	abac-010	2437643
1	0	abac-001	4228096
1	1	abac-002	4701322
1	2	abac-003	5810857
1	3	abac-004	4213244
1	4	abac-005	4309236
1	5	abac-006	3691289
1	6	abac-007	3616398
1	7	abac-008	3998384
1	8	abac-009	2549004
1	9	abac-010	2546574
1	10	abac-001	3012250
1	11	abac-002	3546526
1	12	abac-003	4640701
1	13	abac-004	3638427
1	14	abac-005	4545829
1	15	abac-006	2512823
1	16	abac-007	3135762
1	17	abac-008	3328254
1	18	abac-009	2387051
1	19	abac-010	2105307
2	0	abac-001	4245515
2	1	abac-002	4526960
2	2	abac-003	5877018
2	3	abac-004	4310246
2	4	abac-005	4530890
2	5	abac-006	3476226
2	6	abac-007	3579347
2	7	abac-008	4192955
2	8	abac-009	2678965
2	9	abac-010	2730386
2	10	abac-001	2501063
2	11	abac-002	3755519
2	12	abac-003	4763562
2	13	abac-004	3836300
2	14	abac-005	4647771
2	15	abac-006	2894298
2	16	abac-007	3304203
2	17	abac-008	3594856
2	18	abac-009	2404820
2	19	abac-010	2094888
3	0	abac-001	4117144
3	1	abac-002	4444028
3	2	abac-003	5450122
3	3	abac-004	3673149
3	4	abac-005	4238796
3	5	abac-006	2714106
3	6	abac-007	3259414
3	7	abac-008	3477335
3	8	abac-009	2807667
3	9	abac-010	2878099
3	10	abac-001	2487213
3	11	abac-002	3543276
3	12	abac-003	4689972
3	13	abac-004	3914412
3	14	abac-005	4339896
3	15	abac-006	3509056
3	16	abac-007	3456835
3	17	abac-008	3408425
3	18	abac-009	2647165
3	19	abac-010	2357661
0	0	abac-001	4659691
0	1	abac-002	3602668
0	2	abac-003	4945725
0	3	abac-004	3099092
0	4	abac-005	3775740
0	5	abac-006	2319881
0	6	abac-007	2505753
0	7	abac-008	2643696
0	8	abac-009	2378081
0	9	abac-010	2293349
0	10	abac-001	2696945
0	11	abac-002	4013493
0	12	abac-003	6095600
0	13	abac-004	4751013
0	14	abac-005	5076847
0	15	abac-006	3343734
0	16	abac-007	3653468
0	17	abac-008	4215016
0	18	abac-009	3002371
0	19	abac-010	2632704
1	0	abac-001	4494669
1	1	abac-002	3522216
1	2	abac-003	4966925
1	3	abac-004	3093310
1	4	abac-005	3633428
1	5	abac-006	2251430
1	6	abac-007	2542403
1	7	abac-008	2833406
1	8	abac-009	2288039
1	9	abac-010	2043947
1	10	abac-001	3151751
1	11	abac-002	4329657
1	12	abac-003	5980809
1	13	abac-004	4605860
1	14	abac-005	4899865
1	15	abac-006	3194072
1	16	abac-007	3978083
1	17	abac-008	4180345
1	18	abac-009	3129261
1	19	abac-010	2978940
2	0	abac-001	4308647
2	1	abac-002	3254682
2	2	abac-003	4643721
2	3	abac-004	3180162
2	4	abac-005	3773170
2	5	abac-006	2206420
2	6	abac-007	2520623
2	7	abac-008	2713796
2	8	abac-009	2227949
2	9	abac-010	1952666
2	10	abac-001	2091218
2	11	abac-002	3882231
2	12	abac-003	5665134
2	13	abac-004	4202356
2	14	abac-005	4615281
2	15	abac-006	3125661
2	16	abac-007	3834360
2	17	abac-008	4098545
2	18	abac-009	3003329
2	19	abac-010	2891388
3	0	abac-001	4432639
3	1	abac-002	3721959
3	2	abac-003	5389191
3	3	abac-004	3163441
3	4	abac-005	3675338
3	5	abac-006	2343480
3	6	abac-007	2556973
3	7	abac-008	3182471
3	8	abac-009	2295651
3	9	abac-010	2245380
3	10	abac-001	3107770
3	11	abac-002	4187575
3	12	abac-003	5711925
3	13	abac-004	4220227
3	14	abac-005	4826514
3	15	abac-006	3404565
3	16	abac-007	3809869
3	17	abac-008	3648848
3	18	abac-009	2958089
3	19	abac-010	3598858
