worker	iteration	scenario_id	latency_ns
0	0	abac-001	35165521
0	1	abac-002	28610735
0	2	abac-003	31434984
0	3	abac-004	27146187
0	4	abac-005	28937721
0	5	abac-006	10384638
0	6	abac-007	19338144
0	7	abac-008	21188889
0	8	abac-009	3707168
0	9	abac-010	3185933
0	10	abac-001	3048760
0	11	abac-002	4839093
0	12	abac-003	7490258
0	13	abac-004	4859713
0	14	abac-005	4875184
0	15	abac-006	2996629
0	16	abac-007	3863411
0	17	abac-008	3883850
0	18	abac-009	3007989
0	19	abac-010	3241343
1	0	abac-001	40123146
1	1	abac-002	23834883
1	2	abac-003	10794613
1	3	abac-004	11193037
1	4	abac-005	5860458
1	5	abac-006	4334796
1	6	abac-007	8180839
1	7	abac-008	20967445
1	8	abac-009	13359315
1	9	abac-010	28595186
1	10	abac-001	4108893
1	11	abac-002	16848152
1	12	abac-003	21772097
1	13	abac-004	4421817
1	14	abac-005	5150648
1	15	abac-006	3709178
1	16	abac-007	12083949
1	17	abac-008	4097894
1	18	abac-009	2947888
1	19	abac-010	13706980
2	0	abac-001	63330992
2	1	abac-002	21970347
2	2	abac-003	25494386
2	3	abac-004	4767913
2	4	abac-005	19262513
2	5	abac-006	14931937
2	6	abac-007	14032814
2	7	abac-008	5524754
2	8	abac-009	3739910
2	9	abac-010	15524053
2	10	abac-001	8799546
2	11	abac-002	18528913
2	12	abac-003	10224484
2	13	abac-004	3462396
2	14	abac-005	24157607
2	15	abac-006	3252433
2	16	abac-007	13105952
2	17	abac-008	3750739
2	18	abac-009	2910000
2	19	abac-010	3751269
3	0	abac-001	60952281
3	1	abac-002	10600239
3	2	abac-003	8877216
3	3	abac-004	5762036
3	4	abac-005	17439138
3	5	abac-006	4343447
3	6	abac-007	5038925
3	7	abac-008	12916299
3	8	abac-009	4500000
3	9	abac-010	54335844
3	10	abac-001	4933154
3	11	abac-002	6756810
3	12	abac-003	12745137
3	13	abac-004	20578211
3	14	abac-005	4941725
3	15	abac-006	19394944
3	16	abac-007	4114374
3	17	abac-008	18351581
3	18	abac-009	2902968
3	19	abac-010	3475875
4	0	abac-001	64062262
4	1	abac-002	32684269
4	2	abac-003	15838728
4	3	abac-004	37818636
4	4	abac-005	14341998
4	5	abac-006	9900701
4	6	abac-007	13900062
4	7	abac-008	23667482
4	8	abac-009	9758927
4	9	abac-010	13126852
4	10	abac-001	3287053
4	11	abac-002	4340907
4	12	abac-003	5587834
4	13	abac-004	12205649
4	14	abac-005	4817802
4	15	abac-006	14390939
4	16	abac-007	4764053
4	17	abac-008	3308112
4	18	abac-009	2677585
4	19	abac-010	2313002
5	0	abac-001	14180387
5	1	abac-002	6563187
5	2	abac-003	10247866
5	3	abac-004	5927609
5	4	abac-005	7667050
5	5	abac-006	13001171
5	6	abac-007	6393793
5	7	abac-008	4957816
5	8	abac-009	5259769
5	9	abac-010	62950357
5	10	abac-001	6246652
5	11	abac-002	8696925
5	12	abac-003	31246981
5	13	abac-004	4495569
5	14	abac-005	5017657
5	15	abac-006	4486518
5	16	abac-007	5589323
5	17	abac-008	5039945
5	18	abac-009	3644417
5	19	abac-010	3132832
6	0	abac-001	49978686
6	1	abac-002	20791972
6	2	abac-003	31175520
6	3	abac-004	17192546
6	4	abac-005	25047080
6	5	abac-006	4175094
6	6	abac-007	20085694
6	7	abac-008	33061105
6	8	abac-009	2880888
6	9	abac-010	2530683
6	10	abac-001	2540294
6	11	abac-002	3107221
6	12	abac-003	21045897
6	13	abac-004	3977943
6	14	abac-005	16972342
6	15	abac-006	2818777
6	16	abac-007	3420945
6	17	abac-008	4579311
6	18	abac-009	2854897
6	19	abac-010	2199689
7	0	abac-001	46324448
7	1	abac-002	13330994
7	2	abac-003	46272777
7	3	abac-004	24403460
7	4	abac-005	8176128
7	5	abac-006	14968477
7	6	abac-007	4520669
7	7	abac-008	7611770
7	8	abac-009	4902893
7	9	abac-010	23299365
7	10	abac-001	34594975
7	11	abac-002	5546384
7	12	abac-003	6823749
7	13	abac-004	10497988
7	14	abac-005	4593350
7	15	abac-006	3086662
7	16	abac-007	13053122
7	17	abac-008	3168352
7	18	abac-009	2362441
7	19	abac-010	2226248
0	0	abac-001	2947209
0	1	abac-002	3313083
0	2	abac-003	4887175
0	3	abac-004	9690208
0	4	abac-005	4492299
0	5	abac-006	3191272
0	6	abac-007	2878368
0	7	abac-008	3121891
0	8	abac-009	2336991
0	9	abac-010	24113387
0	10	abac-001	2360811
0	11	abac-002	8947917
0	12	abac-003	8383489
0	13	abac-004	10983594
0	14	abac-005	10941024
0	15	abac-006	2295670
0	16	abac-007	6657567
0	17	abac-008	3230102
0	18	abac-009	5204780
0	19	abac-010	6578206
1	0	abac-001	3416645
1	1	abac-002	7378287
1	2	abac-003	4295297
1	3	abac-004	12865078
1	4	abac-005	5336390
1	5	abac-006	2234528
1	6	abac-007	4153676
1	7	abac-008	7366417
1	8	abac-009	4101225
1	9	abac-010	7113153
1	10	abac-001	13359975
1	11	abac-002	4346907
1	12	abac-003	14199216
1	13	abac-004	16679119
1	14	abac-005	7195085
1	15	abac-006	5517272
1	16	abac-007	3890152
1	17	abac-008	7480467
1	18	abac-009	1618151
1	19	abac-010	1789593
2	0	abac-001	3379335
2	1	abac-002	3876391
2	2	abac-003	4895254
2	3	abac-004	5598193
2	4	abac-005	7103363
2	5	abac-006	4503120
2	6	abac-007	8702464
2	7	abac-008	6869131
2	8	abac-009	3839471
2	9	abac-010	12763828
2	10	abac-001	9448384
2	11	abac-002	11005335
2	12	abac-003	6157931
2	13	abac-004	14817184
2	14	abac-005	11660753
2	15	abac-006	9181081
2	16	abac-007	1999525
2	17	abac-008	1946816
2	18	abac-009	1539770
2	19	abac-010	1757693
3	0	abac-001	3440754
3	1	abac-002	3844801
3	2	abac-003	4816303
3	3	abac-004	3532097
3	4	abac-005	3892250
3	5	abac-006	12796218
3	6	abac-007	2774646
3	7	abac-008	3052111
3	8	abac-009	2450402
3	9	abac-010	3109661
3	10	abac-001	2164709
3	11	abac-002	2800067
3	12	abac-003	11661834
3	13	abac-004	13212994
3	14	abac-005	7917014
3	15	abac-006	3881412
3	16	abac-007	5106907
3	17	abac-008	8768866
3	18	abac-009	3683499
3	19	abac-010	2315870
4	0	abac-001	2350661
4	1	abac-002	10304284
4	2	abac-003	4820243
4	3	abac-004	6736959
4	4	abac-005	10423248
4	5	abac-006	2972260
4	6	abac-007	5631534
4	7	abac-008	12711246
4	8	abac-009	4490620
4	9	abac-010	3017589
4	10	abac-001	11909767
4	11	abac-002	9922701
4	12	abac-003	10709801
4	13	abac-004	2684345
4	14	abac-005	10895203
4	15	abac-006	8813155
4	16	abac-007	1776954
4	17	abac-008	1760102
4	18	abac-009	1546890
4	19	abac-010	1670932
5	0	abac-001	2864088
5	1	abac-002	3146322
5	2	abac-003	5495352
5	3	abac-004	3231252
5	4	abac-005	3668879
5	5	abac-006	3176622
5	6	abac-007	13180385
5	7	abac-008	3859680
5	8	abac-009	4062153
5	9	abac-010	22936031
5	10	abac-001	3601297
5	11	abac-002	7027093
5	12	abac-003	26845183
5	13	abac-004	5805486
5	14	abac-005	6705928
5	15	abac-006	9778179
5	16	abac-007	2087527
5	17	abac-008	2550233
5	18	abac-009	2104819
5	19	abac-010	2018928
6	0	abac-001	2033727
6	1	abac-002	4112124
6	2	abac-003	12491953
6	3	abac-004	2916649
6	4	abac-005	5765015
6	5	abac-006	5981578
6	6	abac-007	11114815
6	7	abac-008	16768670
6	8	abac-009	16908713
6	9	abac-010	3068180
6	10	abac-001	10052613
6	11	abac-002	5108127
6	12	abac-003	5233069
6	13	abac-004	8529212
6	14	abac-005	2231779
6	15	abac-006	1472908
6	16	abac-007	1664932
6	17	abac-008	2036166
6	18	abac-009	1840604
6	19	abac-010	2285889
7	0	abac-001	15284500
7	1	abac-002	2882977
7	2	abac-003	4476829
7	3	abac-004	7513229
