worker	iteration	scenario_id	latency_ns
0	0	abac-001	11652013
0	1	abac-002	6595917
0	2	abac-003	7779712
0	3	abac-004	18458563
0	4	abac-005	6112920
0	5	abac-006	5128017
0	6	abac-007	4601440
0	7	abac-008	4769311
0	8	abac-009	3884441
0	9	abac-010	33533461
0	10	abac-001	3688349
0	11	abac-002	4281887
0	12	abac-003	5526142
0	13	abac-004	4123274
0	14	abac-005	4395397
0	15	abac-006	3053430
0	16	abac-007	3605278
0	17	abac-008	3780289
0	18	abac-009	3136791
0	19	abac-010	2771126
1	0	abac-001	8308739
1	1	abac-002	8866696
1	2	abac-003	21411291
1	3	abac-004	5818307
1	4	abac-005	6005568
1	5	abac-006	4052482
1	6	abac-007	4566321
1	7	abac-008	4688382
1	8	abac-009	3845330
1	9	abac-010	32074812
1	10	abac-001	3678788
1	11	abac-002	4119995
1	12	abac-003	5815006
1	13	abac-004	4069904
1	14	abac-005	4514498
1	15	abac-006	3176063
1	16	abac-007	3592687
1	17	abac-008	4308507
1	18	abac-009	3051590
1	19	abac-010	2734856
0	0	abac-001	3956272
0	1	abac-002	5032057
0	2	abac-003	5709855
0	3	abac-004	3776059
0	4	abac-005	5223239
0	5	abac-006	3281323
0	6	abac-007	3071711
0	7	abac-008	3402516
0	8	abac-009	2648475
0	9	abac-010	2926059
0	10	abac-001	2632504
0	11	abac-002	3405015
0	12	abac-003	4812833
0	13	abac-004	3213052
0	14	abac-005	3730219
0	15	abac-006	2426422
0	16	abac-007	3330513
0	17	abac-008	3554827
0	18	abac-009	2195259
0	19	abac-010	2349451
1	0	abac-001	3911492
1	1	abac-002	4926734
1	2	abac-003	5580282
1	3	abac-004	4036052
1	4	abac-005	5931788
1	5	abac-006	3129992
1	6	abac-007	3083271
1	7	abac-008	3447415
1	8	abac-009	2674805
1	9	abac-010	2270660
1	10	abac-001	2623775
1	11	abac-002	3447125
1	12	abac-003	4564800
1	13	abac-004	3472015
1	14	abac-005	3769009
1	15	abac-006	2357301
1	16	abac-007	3326123
1	17	abac-008	3386294
1	18	abac-009	2392742
1	19	abac-010	2919148
0	0	abac-001	2687246
0	1	abac-002	2755466
0	2	abac-003	4072914
0	3	abac-004	3135131
0	4	abac-005	4237986
0	5	abac-006	2573944
0	6	abac-007	2940660
0	7	abac-008	2724847
0	8	abac-009	2068088
0	9	abac-010	1906644
0	10	abac-001	2159989
0	11	abac-002	2249960
0	12	abac-003	3568376
0	13	abac-004	2399762
0	14	abac-005	3044770
0	15	abac-006	1890495
0	16	abac-007	2122098
0	17	abac-008	2274370
0	18	abac-009	1627661
0	19	abac-010	1708553
1	0	abac-001	2494833
1	1	abac-002	2959949
1	2	abac-003	3988681
1	3	abac-004	3108872
1	4	abac-005	4298427
1	5	abac-006	2590184
1	6	abac-007	3070180
1	7	abac-008	2901398
1	8	abac-009	2051857
1	9	abac-010	2101937
1	10	abac-001	2439093
1	11	abac-002	2258559
1	12	abac-003	3429895
1	13	abac-004	2436621
1	14	abac-005	2866229
1	15	abac-006	1879594
1	16	abac-007	2250730
1	17	abac-008	2281210
1	18	abac-009	1699232
1	19	abac-010	1661612
